antecedents,consequents,support,confidence,lift
Moong Dal (Dhuli),Atta,0.012839870847114092,0.16994669236154916,0.6853232230396091
Rajma Chitra,Atta,0.010024275086219765,0.18084754570794162,0.7292817599515169
Sooji,Atta,0.018849198555540715,0.15634366936289626,0.6304679773447658
Thick Poha,Atta,0.014987181602260438,0.15896364767576215,0.6410332431744018
Chana Dal,Besan,0.015128589871501782,0.1969898456733294,1.6899125073978936
Besan,Chana Dal,0.015128589871501782,0.1297833051026414,1.6899125073978936
Kabuli Chana,Besan,0.012827301223181528,0.2034793878670056,1.7455842019611052
Besan,Kabuli Chana,0.012827301223181528,0.11004129019503889,1.7455842019611054
Kala Chana,Besan,0.01118382289399879,0.19472561142419434,1.670488370259184
Moong Dal (Dhuli),Besan,0.012386840651211267,0.16395044954490945,1.4064781579600039
Besan,Moong Dal (Dhuli),0.012386840651211267,0.10626272065992426,1.4064781579600039
Rajma Chitra,Besan,0.010746504728011669,0.1938772617754051,1.66321065156645
Sooji,Besan,0.025865143647233503,0.21453705071286455,1.8404443338726457
Besan,Sooji,0.025865143647233503,0.2218887456137592,1.840444333872646
Thick Poha,Besan,0.015043221175626452,0.15955803928539686,1.368797083538115
Besan,Thick Poha,0.015043221175626452,0.12905095452687007,1.3687970835381147
Kabuli Chana,Chana Dal,0.013820301513854083,0.21923134439958125,2.854618247096616
Chana Dal,Kabuli Chana,0.013820301513854083,0.179954581722212,2.854618247096616
Chana Dal,Kala Chana,0.013679416978943261,0.1781201197514952,3.1013142423931135
Kala Chana,Chana Dal,0.013679416978943261,0.23817730845689483,3.1013142423931135
Moong Dal (Dhuli),Chana Dal,0.017275900626648126,0.22866134745627595,2.9774066141959556
Chana Dal,Moong Dal (Dhuli),0.017275900626648126,0.2249500467139944,2.977406614195955
Chana Dal,Rajma Chitra,0.01217787065333239,0.15856843770671794,2.8607268395321728
Rajma Chitra,Chana Dal,0.01217787065333239,0.21970047715784002,2.8607268395321728
Sooji,Chana Dal,0.012232862758037357,0.10146482593245813,1.3211766973310142
Chana Dal,Sooji,0.012232862758037357,0.15928449163580816,1.3211766973310144
Kabuli Chana,Kala Chana,0.014556671982570121,0.2309123838957845,4.020499570290298
Kala Chana,Kabuli Chana,0.014556671982570121,0.253451514654119,4.020499570290298
Kabuli Chana,Moong Dal (Dhuli),0.01105498424869001,0.17536513633418074,2.3211078390422166
Moong Dal (Dhuli),Kabuli Chana,0.01105498424869001,0.14632218887125062,2.321107839042216
Kabuli Chana,Rajma Chitra,0.018010176158042072,0.2856952960138245,5.154217403254462
Rajma Chitra,Kabuli Chana,0.018010176158042072,0.32492086738791515,5.154217403254462
Kabuli Chana,Sooji,0.010373605884678937,0.1645564362029144,1.3649045595990306
Rajma Chitra,Kala Chana,0.010977995302103055,0.1980535739594652,3.448382869573
Kala Chana,Rajma Chitra,0.010977995302103055,0.19114187229851726,3.4483828695729994
Kala Chana,Sooji,0.010573672398938914,0.18410205905418467,1.5270246830380512
Sooji,Maida,0.012951426259515599,0.10742491246665914,2.1189397519824653
Maida,Sooji,0.012951426259515599,0.2554648760330579,2.1189397519824653
Masoor Dal,Moong Dal (Dhuli),0.010887912997253014,0.33214040357239866,4.396162832077563
Moong Dal (Dhuli),Masoor Dal,0.010887912997253014,0.14411085770534532,4.396162832077562
Sooji,Moong Dal (Dhuli),0.012344941904769386,0.10239446042102884,1.3552784192226217
Moong Dal (Dhuli),Sooji,0.012344941904769386,0.163395883735278,1.3552784192226217
Sooji,Thick Poha,0.02193504123098517,0.1819390264033571,1.9297618497724975
Thick Poha,Sooji,0.02193504123098517,0.23265709714692026,1.9297618497724975
