antecedents,consequents,support,confidence,lift
Brinjal,Capsicum,0.012410036380368066,0.2111981668673911,2.2016144528883017
Brinjal,Chilli,0.014673273761342028,0.24971470069509283,2.0344287465846236
Chilli,Brinjal,0.014673273761342028,0.11954334231619679,2.0344287465846236
Brinjal,Coriander,0.01147601031987477,0.19530259768963948,1.6784925434329498
Brinjal,Cucumber,0.01680372253382929,0.2859713933882732,1.8710448097370753
Cucumber,Brinjal,0.01680372253382929,0.10994287735799978,1.8710448097370753
Ginger,Brinjal,0.01040044909584475,0.11122291350746162,1.8928288948117975
Brinjal,Ginger,0.01040044909584475,0.1769983355661105,1.8928288948117975
Brinjal,Lady Finger,0.01942927933157236,0.3306540007307271,3.230626684257881
Lady Finger,Brinjal,0.01942927933157236,0.18983211491698973,3.2306266842578806
Brinjal,Onion,0.022478381431434696,0.3825446442667244,1.6149099949526027
Potato,Brinjal,0.02142269874160927,0.11140592328971798,1.8959434167476465
Brinjal,Potato,0.02142269874160927,0.3645786817142316,1.8959434167476465
Brinjal,Tomato,0.02741223362101548,0.46651059779789533,1.7016427280163198
Cabbage,Cucumber,0.010226578183335215,0.276871631852006,1.8115071707077022
Cabbage,Onion,0.013052775652983344,0.3533873432981479,1.491822618183148
Cabbage,Potato,0.01191174778963952,0.32249546129724377,1.6770951716172082
Cabbage,Tomato,0.015749630126740233,0.4264012572027239,1.5553400114832399
Capsicum,Carrot,0.018955640123257515,0.1976012002287729,2.6605725416553017
Carrot,Capsicum,0.018955640123257515,0.2552254518851596,2.6605725416553017
Capsicum,Chilli,0.01874810822616153,0.19543780444338837,1.592234203361928
Chilli,Capsicum,0.01874810822616153,0.15274106896075182,1.5922342033619281
Capsicum,Coriander,0.017008603959697995,0.17730451384379897,1.5238112955197436
Coriander,Capsicum,0.017008603959697995,0.14617734355958187,1.5238112955197434
Capsicum,Cucumber,0.026762338076086547,0.2789813527992905,1.825310587831494
Cucumber,Capsicum,0.026762338076086547,0.17509979987999735,1.8253105878314937
Capsicum,Ginger,0.014171274510895292,0.1477270529465561,1.5798003606547606
Ginger,Capsicum,0.014171274510895292,0.1515483057212908,1.5798003606547606
