cohort_week,purchase_week,l0_category,customer_count,cohort_index,min_val,mean_val,final_customer_count
2022-03-28,2022-06-13,Dairy & Breakfast,66685,11,14889,44710.0,66685.0
2022-04-18,2022-06-27,Sauces & Spreads,2269,10,2269,8545.5,8545.5
2022-04-18,2022-05-02,"Chicken, Meat & Fish",559,2,6,809.0909090909091,559.0
2022-04-04,2022-06-13,Organic & Premium,5939,10,1190,4753.0,5939.0
2022-03-28,2022-06-06,Bakery & Biscuits,26740,10,3941,15612.5,26740.0
2022-04-04,2022-06-13,Pet Care,710,10,147,543.75,710.0
2022-05-09,2022-06-20,Sweet Tooth,2987,6,23,6101.125,2987.0
2022-05-09,2022-05-09,"Tea, Coffee & Health Drinks",16424,0,7190,32406.85714285714,16424.0
2022-05-16,2022-06-13,Sweet Tooth,2538,4,14,6128.1,2538.0
2022-05-02,2022-05-23,Pharma & Wellness,6,3,6,1711.7272727272727,1711.7272727272727
2022-05-02,2022-05-23,Specials,6,3,5,903.3333333333334,6.0
2022-03-28,2022-06-20,Pet Care,1161,12,515,838.0,1161.0
2022-05-23,2022-05-30,Sauces & Spreads,31,1,12,4553.538461538462,31.0
2022-05-30,2022-06-20,Paan Corner,652,3,2,564.6363636363636,652.0
2022-03-28,2022-04-11,"Atta, Rice & Dal",42017,2,45,11105.583333333334,42017.0
2022-05-02,2022-05-23,Vegetables & Fruits,106,3,106,19927.727272727272,19927.727272727272
2022-03-28,2022-06-27,"Dry Fruits, Masala & Oil",29342,13,29342,29342.0,29342.0
2022-05-16,2022-06-20,Sauces & Spreads,1621,5,10,4936.111111111111,1621.0
2022-05-16,2022-05-23,"Dry Fruits, Masala & Oil",41,1,41,13341.0,13341.0
2022-04-11,2022-05-23,Home & Office,21,6,21,4728.125,4728.125
2022-05-09,2022-05-30,"Tea, Coffee & Health Drinks",2981,3,18,7583.272727272727,2981.0
2022-04-11,2022-06-20,"Atta, Rice & Dal",14618,10,5637,22342.75,14618.0
2022-03-28,2022-04-11,"Dry Fruits, Masala & Oil",48189,2,48,12986.416666666666,48189.0
2022-05-02,2022-05-23,Personal Care,23,3,23,7276.0,7276.0
2022-04-18,2022-06-27,Bakery & Biscuits,3941,10,3941,15612.5,15612.5
2022-05-02,2022-06-20,"Tea, Coffee & Health Drinks",3925,7,36,6521.857142857143,3925.0
2022-05-30,2022-05-30,"Dry Fruits, Masala & Oil",175825,0,17177,91235.14285714286,175825.0
2022-05-16,2022-06-27,Paan Corner,272,6,2,607.25,272.0
2022-04-11,2022-06-06,"Chicken, Meat & Fish",668,8,6,528.1666666666666,668.0
2022-03-28,2022-06-06,Sauces & Spreads,15032,10,2269,8545.5,15032.0
2022-05-30,2022-06-27,Home & Office,1680,4,6,4846.1,1680.0
2022-05-16,2022-06-20,Bakery & Biscuits,3352,5,35,9023.0,3352.0
2022-03-28,2022-05-16,"Dry Fruits, Masala & Oil",40251,7,127,12226.857142857143,40251.0
2022-03-28,2022-06-20,Specials,9376,12,3431,6403.5,9376.0
2022-04-04,2022-06-13,Specials,3757,10,1077,2341.75,3757.0
2022-04-18,2022-05-23,Sweet Tooth,19,5,19,6138.0,6138.0
2022-05-23,2022-05-30,Bakery & Biscuits,73,1,20,8602.23076923077,73.0
2022-05-09,2022-06-27,"Atta, Rice & Dal",3527,7,91,10535.285714285714,3527.0
2022-03-28,2022-03-28,Specials,2,0,1,5149.153846153846,2.0
2022-04-11,2022-04-25,Munchies,15191,2,47,11448.333333333334,15191.0
2022-05-09,2022-05-09,Paan Corner,1208,0,1040,3129.5714285714284,1208.0
